field_sample_parent_id	field_sample_id	archive_sample_id	library_id	Master.Depth..cm.	ArchiveSampleDepthCalTape	time	basedir	basename
CAM2313M	CAM23-13	LV3006007303	LV7009023755	112.5	11.5	11.5	/projects/caeg/data/production/LV7/009/023/LV7009023755/20240704_BH5FCVDSX7	 Lib_LV7009023755
CAM2313M	CAM23-13	LV3006007304	LV7009024246	103.5	2.5	2.5	/projects/caeg/data/production/LV7/009/024/LV7009024246/20240704_BH5FCVDSX7	 Lib_LV7009024246
CAM2313M	CAM23-13	LV3006007306	LV7009024536	128.5	27.5	27.5	/projects/caeg/data/production/LV7/009/024/LV7009024536/20240704_BH5FCVDSX7	 Lib_LV7009024536
CAM2313M	CAM23-13	LV3006006425	LV7009024562	171.5	70.5	70.5	/projects/caeg/data/production/LV7/009/024/LV7009024562/20240724_BH5F2GDSX7	 Lib_LV7009024562
CAM2313M	CAM23-13	LV3006006396	LV7009024574	184	83	83	/projects/caeg/data/production/LV7/009/024/LV7009024574/20240724_BH5F2GDSX7	 Lib_LV7009024574
CAM2313M	CAM23-13	LV3006006407	LV7009024910	156	55	55	/projects/caeg/data/production/LV7/009/024/LV7009024910/20240724_BH5F2GDSX7	 Lib_LV7009024910
CAM2313M	CAM23-13	LV3006007311	LV7009026424	132.5	31.5	31.5	/projects/caeg/data/production/LV7/009/026/LV7009026424/20240704_BH5FCVDSX7	 Lib_LV7009026424
CAM2313M	CAM23-13	LV3006007300	LV7009026551	130	29	29	/projects/caeg/data/production/LV7/009/026/LV7009026551/20240704_BH5FCVDSX7	 Lib_LV7009026551
CAM2313M	CAM23-13	LV3006007316	LV7009026552	107	6	6	/projects/caeg/data/production/LV7/009/026/LV7009026552/20240704_BH5FCVDSX7	 Lib_LV7009026552
CAM2313M	CAM23-13	LV3006006423	LV7009026578	159.5	58.5	58.5	/projects/caeg/data/production/LV7/009/026/LV7009026578/20240724_BH5F2GDSX7	 Lib_LV7009026578
CAM2313M	CAM23-13	LV3006007309	LV7009026634	109.5	8.5	8.5	/projects/caeg/data/production/LV7/009/026/LV7009026634/20240704_BH5FCVDSX7	 Lib_LV7009026634
CAM2313M	CAM23-13	LV3006006385	LV7009027357	178	77	77	/projects/caeg/data/production/LV7/009/027/LV7009027357/20240724_BH5F2GDSX7	 Lib_LV7009027357
CAM2313M	CAM23-13	LV3006006400	LV7009027833	151.5	50.5	50.5	/projects/caeg/data/production/LV7/009/027/LV7009027833/20240724_BH5F2GDSX7	 Lib_LV7009027833
CAM2313M	CAM23-13	LV3006007315	LV7009027860	108.5	7.5	7.5	/projects/caeg/data/production/LV7/009/027/LV7009027860/20240704_BH5FCVDSX7	 Lib_LV7009027860
CAM2313M	CAM23-13	LV3006006418	LV7009027886	139.5	38.5	38.5	/projects/caeg/data/production/LV7/009/027/LV7009027886/20240704_BH5FCVDSX7	 Lib_LV7009027886
CAM2313M	CAM23-13	LV3006006416	LV7009027909	173	72	72	/projects/caeg/data/production/LV7/009/027/LV7009027909/20240724_BH5F2GDSX7	 Lib_LV7009027909
