field_sample_parent_id	field_sample_id	archive_sample_id	library_id	Master.Depth..cm.	ArchiveSampleDepthCalTape	time	basedir	basename	aggregate_stat_files
CAM2208M	CAM22-08	LV3005273250	LV7001884436	NA	44.5	44.5	/projects/caeg/data/production/LV30/0527/LV3005273250/20230414_BHMGMJDSX5_LV7001884436	 LV3005273250_LV7001884436	/projects/caeg/data/production/LV30/0527/LV3005273250/20230414_BHMGMJDSX5_LV7001884436/stats/metadmg/aggregate//LV3005273250_LV7001884436_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273250	LV7001884436	NA	44.5	44.5	/projects/caeg/data/production/LV30/0527/LV3005273250/20230414_BHMGMJDSX5_LV7001884436	 LV3005273250_LV7001884436	/projects/caeg/data/production/LV30/0527/LV3005273250/20230414_BHMGMJDSX5_LV7001884436/stats/metadmg/aggregate//LV3005273250_LV7001884436_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273235	LV7001884448	NA	49	49	/projects/caeg/data/production/LV30/0527/LV3005273235/20230414_BHMGMJDSX5_LV7001884448	 LV3005273235_LV7001884448	/projects/caeg/data/production/LV30/0527/LV3005273235/20230414_BHMGMJDSX5_LV7001884448/stats/metadmg/aggregate//LV3005273235_LV7001884448_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273235	LV7001884448	NA	49	49	/projects/caeg/data/production/LV30/0527/LV3005273235/20230414_BHMGMJDSX5_LV7001884448	 LV3005273235_LV7001884448	/projects/caeg/data/production/LV30/0527/LV3005273235/20230414_BHMGMJDSX5_LV7001884448/stats/metadmg/aggregate//LV3005273235_LV7001884448_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273242	LV7001884491	NA	46	46	/projects/caeg/data/production/LV30/0527/LV3005273242/20230414_BHMGMJDSX5_LV7001884491	 LV3005273242_LV7001884491	/projects/caeg/data/production/LV30/0527/LV3005273242/20230414_BHMGMJDSX5_LV7001884491/stats/metadmg/aggregate//LV3005273242_LV7001884491_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273242	LV7001884491	NA	46	46	/projects/caeg/data/production/LV30/0527/LV3005273242/20230414_BHMGMJDSX5_LV7001884491	 LV3005273242_LV7001884491	/projects/caeg/data/production/LV30/0527/LV3005273242/20230414_BHMGMJDSX5_LV7001884491/stats/metadmg/aggregate//LV3005273242_LV7001884491_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273246	LV7001887833	NA	43	43	/projects/caeg/data/production/LV30/0527/LV3005273246/20230414_BHMGMJDSX5_LV7001887833	 LV3005273246_LV7001887833	/projects/caeg/data/production/LV30/0527/LV3005273246/20230414_BHMGMJDSX5_LV7001887833/stats/metadmg/aggregate//LV3005273246_LV7001887833_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273246	LV7001887833	NA	43	43	/projects/caeg/data/production/LV30/0527/LV3005273246/20230414_BHMGMJDSX5_LV7001887833	 LV3005273246_LV7001887833	/projects/caeg/data/production/LV30/0527/LV3005273246/20230414_BHMGMJDSX5_LV7001887833/stats/metadmg/aggregate//LV3005273246_LV7001887833_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273227	LV7001902859	NA	41	41	/projects/caeg/data/production/LV30/0527/LV3005273227/20230414_BHMGMJDSX5_LV7001902859	 LV3005273227_LV7001902859	/projects/caeg/data/production/LV30/0527/LV3005273227/20230414_BHMGMJDSX5_LV7001902859/stats/metadmg/aggregate//LV3005273227_LV7001902859_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273227	LV7001902859	NA	41	41	/projects/caeg/data/production/LV30/0527/LV3005273227/20230414_BHMGMJDSX5_LV7001902859	 LV3005273227_LV7001902859	/projects/caeg/data/production/LV30/0527/LV3005273227/20230414_BHMGMJDSX5_LV7001902859/stats/metadmg/aggregate//LV3005273227_LV7001902859_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273248	LV7001903371	NA	47.5	47.5	/projects/caeg/data/production/LV30/0527/LV3005273248/20230414_BHMGMJDSX5_LV7001903371	 LV3005273248_LV7001903371	/projects/caeg/data/production/LV30/0527/LV3005273248/20230414_BHMGMJDSX5_LV7001903371/stats/metadmg/aggregate//LV3005273248_LV7001903371_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273248	LV7001903371	NA	47.5	47.5	/projects/caeg/data/production/LV30/0527/LV3005273248/20230414_BHMGMJDSX5_LV7001903371	 LV3005273248_LV7001903371	/projects/caeg/data/production/LV30/0527/LV3005273248/20230414_BHMGMJDSX5_LV7001903371/stats/metadmg/aggregate//LV3005273248_LV7001903371_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005272689	LV7009026435	NA	114.5	114.5	/projects/caeg/data/production/LV7/009/026/LV7009026435/20230927_AHNLW5DSX5	 Lib_LV7009026435	/projects/caeg/data/production/LV7/009/026/LV7009026435/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026435_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273253	LV7009026436	NA	105	105	/projects/caeg/data/production/LV7/009/026/LV7009026436/20230927_AHNLW5DSX5	 Lib_LV7009026436	/projects/caeg/data/production/LV7/009/026/LV7009026436/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026436_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273276	LV7009026437	NA	93.5	93.5	/projects/caeg/data/production/LV7/009/026/LV7009026437/20230927_AHNLW5DSX5	 Lib_LV7009026437	/projects/caeg/data/production/LV7/009/026/LV7009026437/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026437_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273265	LV7009026438	NA	82	82	/projects/caeg/data/production/LV7/009/026/LV7009026438/20230927_AHNLW5DSX5	 Lib_LV7009026438	/projects/caeg/data/production/LV7/009/026/LV7009026438/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026438_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273228	LV7009026439	NA	71.5	71.5	/projects/caeg/data/production/LV7/009/026/LV7009026439/20230927_AHNLW5DSX5	 Lib_LV7009026439	/projects/caeg/data/production/LV7/009/026/LV7009026439/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026439_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273239	LV7009026440	NA	60.5	60.5	/projects/caeg/data/production/LV7/009/026/LV7009026440/20230927_AHNLW5DSX5	 Lib_LV7009026440	/projects/caeg/data/production/LV7/009/026/LV7009026440/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026440_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005272696	LV7009026447	NA	116	116	/projects/caeg/data/production/LV7/009/026/LV7009026447/20230927_AHNLW5DSX5	 Lib_LV7009026447	/projects/caeg/data/production/LV7/009/026/LV7009026447/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026447_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273254	LV7009026449	NA	95	95	/projects/caeg/data/production/LV7/009/026/LV7009026449/20230927_AHNLW5DSX5	 Lib_LV7009026449	/projects/caeg/data/production/LV7/009/026/LV7009026449/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026449_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273270	LV7009026450	NA	83.5	83.5	/projects/caeg/data/production/LV7/009/026/LV7009026450/20230927_AHNLW5DSX5	 Lib_LV7009026450	/projects/caeg/data/production/LV7/009/026/LV7009026450/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026450_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273247	LV7009026451	NA	73	73	/projects/caeg/data/production/LV7/009/026/LV7009026451/20230927_AHNLW5DSX5	 Lib_LV7009026451	/projects/caeg/data/production/LV7/009/026/LV7009026451/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026451_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273245	LV7009026452	NA	62	62	/projects/caeg/data/production/LV7/009/026/LV7009026452/20230927_AHNLW5DSX5	 Lib_LV7009026452	/projects/caeg/data/production/LV7/009/026/LV7009026452/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026452_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005272708	LV7009026459	NA	117.5	117.5	/projects/caeg/data/production/LV7/009/026/LV7009026459/20230927_AHNLW5DSX5	 Lib_LV7009026459	/projects/caeg/data/production/LV7/009/026/LV7009026459/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026459_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273269	LV7009026460	NA	106.5	106.5	/projects/caeg/data/production/LV7/009/026/LV7009026460/20230927_AHNLW5DSX5	 Lib_LV7009026460	/projects/caeg/data/production/LV7/009/026/LV7009026460/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026460_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273281	LV7009026462	NA	85	85	/projects/caeg/data/production/LV7/009/026/LV7009026462/20230927_AHNLW5DSX5	 Lib_LV7009026462	/projects/caeg/data/production/LV7/009/026/LV7009026462/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026462_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273282	LV7009026463	NA	74.5	74.5	/projects/caeg/data/production/LV7/009/026/LV7009026463/20230927_AHNLW5DSX5	 Lib_LV7009026463	/projects/caeg/data/production/LV7/009/026/LV7009026463/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026463_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273244	LV7009026464	NA	63.5	63.5	/projects/caeg/data/production/LV7/009/026/LV7009026464/20230927_AHNLW5DSX5	 Lib_LV7009026464	/projects/caeg/data/production/LV7/009/026/LV7009026464/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026464_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005272702	LV7009026471	NA	119	119	/projects/caeg/data/production/LV7/009/026/LV7009026471/20230927_AHNLW5DSX5	 Lib_LV7009026471	/projects/caeg/data/production/LV7/009/026/LV7009026471/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026471_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273280	LV7009026472	NA	108	108	/projects/caeg/data/production/LV7/009/026/LV7009026472/20230927_AHNLW5DSX5	 Lib_LV7009026472	/projects/caeg/data/production/LV7/009/026/LV7009026472/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026472_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273263	LV7009026473	NA	98	98	/projects/caeg/data/production/LV7/009/026/LV7009026473/20230927_AHNLW5DSX5	 Lib_LV7009026473	/projects/caeg/data/production/LV7/009/026/LV7009026473/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026473_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273255	LV7009026474	NA	86.5	86.5	/projects/caeg/data/production/LV7/009/026/LV7009026474/20230927_AHNLW5DSX5	 Lib_LV7009026474	/projects/caeg/data/production/LV7/009/026/LV7009026474/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026474_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273258	LV7009026475	NA	76	76	/projects/caeg/data/production/LV7/009/026/LV7009026475/20230927_AHNLW5DSX5	 Lib_LV7009026475	/projects/caeg/data/production/LV7/009/026/LV7009026475/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026475_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273232	LV7009026476	NA	64.5	64.5	/projects/caeg/data/production/LV7/009/026/LV7009026476/20230927_AHNLW5DSX5	 Lib_LV7009026476	/projects/caeg/data/production/LV7/009/026/LV7009026476/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026476_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005272703	LV7009026483	NA	120	120	/projects/caeg/data/production/LV7/009/026/LV7009026483/20230927_AHNLW5DSX5	 Lib_LV7009026483	/projects/caeg/data/production/LV7/009/026/LV7009026483/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026483_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005272684	LV7009026484	NA	109.5	109.5	/projects/caeg/data/production/LV7/009/026/LV7009026484/20230927_AHNLW5DSX5	 Lib_LV7009026484	/projects/caeg/data/production/LV7/009/026/LV7009026484/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026484_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273256	LV7009026485	NA	99.5	99.5	/projects/caeg/data/production/LV7/009/026/LV7009026485/20230927_AHNLW5DSX5	 Lib_LV7009026485	/projects/caeg/data/production/LV7/009/026/LV7009026485/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026485_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273278	LV7009026486	NA	88	88	/projects/caeg/data/production/LV7/009/026/LV7009026486/20230927_AHNLW5DSX5	 Lib_LV7009026486	/projects/caeg/data/production/LV7/009/026/LV7009026486/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026486_collapsed.stat.gz
