"time" "is_first_times" "QFILT" "fit_q" "lwr" "upr"
"1" 41 TRUE 0.0431621 0.0327935976756943 -0.00904851346904107 0.0746357088204297
"2" 43 TRUE 0.0398673 0.0472488961832561 0.0211635835105841 0.0733342088559281
"3" 44.5 TRUE 0.041639875 0.0576618239545208 0.0359863420108061 0.0793373058982354
"4" 46 FALSE 0.07942615 0.0674955570647763 0.0440136327214142 0.0909774814081384
"5" 47.5 FALSE 0.062059 0.0767427198851086 0.0488255729297796 0.104659866840438
"6" 49 FALSE 0.101162275 0.0856766523574318 0.0532025311773182 0.118150773537545
"7" 60.5 FALSE 0.104755575 0.106664593925391 0.0611557482547676 0.152173439596015
"8" 62 FALSE 0.1164446 0.116620086385247 0.0895330724714335 0.14370710029906
"9" 63.5 FALSE 0.1262324 0.121011946476258 0.0943470104782545 0.147676882474261
"10" 64.5 FALSE 0.130966 0.121240100406295 0.0932380954718524 0.149242105340738
"11" 66 FALSE 0.101851375 0.115575586738302 0.0845973541460187 0.146553819330585
"12" 67.5 FALSE 0.1186574 0.110893353379777 0.0786337387848123 0.143152967974742
"13" 69 FALSE 0.1042276 0.105428323805937 0.0744500912136542 0.136406556398221
"14" 70.5 FALSE 0.1214889 0.110322895407904 0.0812506738927127 0.139395116923096
"15" 71.5 FALSE 0.0824478 0.119014665005817 0.0899424434906257 0.148086886521009
"16" 73 FALSE 0.17053715 0.132408490647706 0.102525585612446 0.162291395682967
"17" 74.5 FALSE 0.1337806 0.147091250228765 0.116251020388024 0.177931480069506
"18" 76 FALSE 0.142510425 0.154981399171166 0.124676856254766 0.185285942087567
"19" 77.5 FALSE 0.1768472 0.156931967851559 0.12636902664291 0.187494909060207
"20" 79 FALSE 0.1522001 0.162021751926618 0.131458810717969 0.192584693135267
"21" 80.5 FALSE 0.15832995 0.159683228930769 0.129120287722121 0.190246170139418
"22" 82 FALSE 0.157627 0.154823415290943 0.124260474082294 0.185386356499592
"23" 83.5 FALSE 0.1585968 0.153384090195401 0.122821148986752 0.18394703140405
"24" 85 FALSE 0.13406345 0.146210303893863 0.115905760977462 0.176514846810263
"25" 86.5 FALSE 0.1666755 0.152057983396106 0.122569660408408 0.181546306383803
"26" 88 FALSE 0.1294662 0.162701130941329 0.135960617233869 0.18944164464879
"27" 89.5 FALSE 0.224053825 0.162152172965884 0.135445094916194 0.188859251015574
"28" 90.5 FALSE 0.13271315 0.158525821388097 0.132004066474634 0.185047576301559
"29" 93.5 FALSE 0.1284031 0.129543541015648 0.0805221574084264 0.178564924622869
"30" 103.5 FALSE NA 0.0559005958513169 -0.0746421296024642 0.186443321305098
"31" 116 FALSE NA 0.0682985268051462 0.0151525870443967 0.121444466565896
"32" 117.5 FALSE NA 0.0706315293926741 0.0216409558186722 0.119622102966676
"33" 119 FALSE 0.072297 0.0721833005223858 0.020925430487572 0.1234411705572
