field_sample_parent_id	field_sample_id	archive_sample_id	library_id	Master.Depth..cm.	Library.Prep.Method	ArchiveSampleDepthCalTape	time	basedir	basename	aggregate_stat_files
CAM2313M	CAM23-13	LV3006007310	LV3000765846	111	single strand DNA Library Method	10	10	/projects/caeg/data/production/LV3/000/765/LV3000765846/20240704_BH5FCVDSX7	 Lib_LV3000765846	/projects/caeg/data/production/LV3/000/765/LV3000765846/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV3000765846_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006402	LV7001888062	164	single strand DNA Library Method	63	63	/projects/caeg/data/production/LV7/001/888/LV7001888062/20240724_BH5F2GDSX7	 Lib_LV7001888062	/projects/caeg/data/production/LV7/001/888/LV7001888062/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7001888062_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007296	LV7008955463	119.5	single strand DNA Library Method	18.5	18.5	/projects/caeg/data/production/LV7/008/955/LV7008955463/20240704_BH5FCVDSX7	 Lib_LV7008955463	/projects/caeg/data/production/LV7/008/955/LV7008955463/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008955463_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007313	LV7008955486	121	single strand DNA Library Method	20	20	/projects/caeg/data/production/LV7/008/955/LV7008955486/20240704_BH5FCVDSX7	 Lib_LV7008955486	/projects/caeg/data/production/LV7/008/955/LV7008955486/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008955486_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006414	LV7008955584	161	single strand DNA Library Method	60	60	/projects/caeg/data/production/LV7/008/955/LV7008955584/20240724_BH5F2GDSX7	 Lib_LV7008955584	/projects/caeg/data/production/LV7/008/955/LV7008955584/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008955584_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007314	LV7008957213	115.5	single strand DNA Library Method	14.5	14.5	/projects/caeg/data/production/LV7/008/957/LV7008957213/20240704_BH5FCVDSX7	 Lib_LV7008957213	/projects/caeg/data/production/LV7/008/957/LV7008957213/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957213_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007295	LV7008957215	125.5	single strand DNA Library Method	24.5	24.5	/projects/caeg/data/production/LV7/008/957/LV7008957215/20240704_BH5FCVDSX7	 Lib_LV7008957215	/projects/caeg/data/production/LV7/008/957/LV7008957215/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957215_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007307	LV7008957217	122.5	single strand DNA Library Method	21.5	21.5	/projects/caeg/data/production/LV7/008/957/LV7008957217/20240704_BH5FCVDSX7	 Lib_LV7008957217	/projects/caeg/data/production/LV7/008/957/LV7008957217/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957217_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006424	LV7008957253	165.5	single strand DNA Library Method	64.5	64.5	/projects/caeg/data/production/LV7/008/957/LV7008957253/20240724_BH5F2GDSX7	 Lib_LV7008957253	/projects/caeg/data/production/LV7/008/957/LV7008957253/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008957253_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006399	LV7008957262	145	single strand DNA Library Method	44	44	/projects/caeg/data/production/LV7/008/957/LV7008957262/20240704_BH5FCVDSX7	 Lib_LV7008957262	/projects/caeg/data/production/LV7/008/957/LV7008957262/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957262_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007299	LV7008957311	136	single strand DNA Library Method	35	35	/projects/caeg/data/production/LV7/008/957/LV7008957311/20240704_BH5FCVDSX7	 Lib_LV7008957311	/projects/caeg/data/production/LV7/008/957/LV7008957311/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957311_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007294	LV7008957395	131.5	single strand DNA Library Method	30.5	30.5	/projects/caeg/data/production/LV7/008/957/LV7008957395/20240704_BH5FCVDSX7	 Lib_LV7008957395	/projects/caeg/data/production/LV7/008/957/LV7008957395/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957395_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007298	LV7008957549	101.5	single strand DNA Library Method	0.5	0.5	/projects/caeg/data/production/LV7/008/957/LV7008957549/20240704_BH5FCVDSX7	 Lib_LV7008957549	/projects/caeg/data/production/LV7/008/957/LV7008957549/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957549_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006391	LV7008957590	179.5	single strand DNA Library Method	78.5	78.5	/projects/caeg/data/production/LV7/008/957/LV7008957590/20240724_BH5F2GDSX7	 Lib_LV7008957590	/projects/caeg/data/production/LV7/008/957/LV7008957590/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008957590_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007312	LV7008958322	127	single strand DNA Library Method	26	26	/projects/caeg/data/production/LV7/008/958/LV7008958322/20240704_BH5FCVDSX7	 Lib_LV7008958322	/projects/caeg/data/production/LV7/008/958/LV7008958322/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008958322_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006405	LV7008958330	143.5	single strand DNA Library Method	42.5	42.5	/projects/caeg/data/production/LV7/008/958/LV7008958330/20240704_BH5FCVDSX7	 Lib_LV7008958330	/projects/caeg/data/production/LV7/008/958/LV7008958330/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008958330_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006392	LV7008958343	183	single strand DNA Library Method	82	82	/projects/caeg/data/production/LV7/008/958/LV7008958343/20240724_BH5F2GDSX7	 Lib_LV7008958343	/projects/caeg/data/production/LV7/008/958/LV7008958343/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008958343_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006410	LV7008958346	175	single strand DNA Library Method	74	74	/projects/caeg/data/production/LV7/008/958/LV7008958346/20240724_BH5F2GDSX7	 Lib_LV7008958346	/projects/caeg/data/production/LV7/008/958/LV7008958346/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008958346_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006401	LV7008958486	158	single strand DNA Library Method	57	57	/projects/caeg/data/production/LV7/008/958/LV7008958486/20240724_BH5F2GDSX7	 Lib_LV7008958486	/projects/caeg/data/production/LV7/008/958/LV7008958486/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008958486_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006411	LV7008958511	141.5	single strand DNA Library Method	40.5	40.5	/projects/caeg/data/production/LV7/008/958/LV7008958511/20240704_BH5FCVDSX7	 Lib_LV7008958511	/projects/caeg/data/production/LV7/008/958/LV7008958511/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008958511_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006421	LV7008960345	154.5	single strand DNA Library Method	53.5	53.5	/projects/caeg/data/production/LV7/008/960/LV7008960345/20240724_BH5F2GDSX7	 Lib_LV7008960345	/projects/caeg/data/production/LV7/008/960/LV7008960345/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008960345_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007293	LV7008960369	138	single strand DNA Library Method	37	37	/projects/caeg/data/production/LV7/008/960/LV7008960369/20240704_BH5FCVDSX7	 Lib_LV7008960369	/projects/caeg/data/production/LV7/008/960/LV7008960369/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008960369_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007322	LV7008960407	105	single strand DNA Library Method	4	4	/projects/caeg/data/production/LV7/008/960/LV7008960407/20240704_BH5FCVDSX7	 Lib_LV7008960407	/projects/caeg/data/production/LV7/008/960/LV7008960407/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008960407_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007301	LV7008960410	124	single strand DNA Library Method	23	23	/projects/caeg/data/production/LV7/008/960/LV7008960410/20240704_BH5FCVDSX7	 Lib_LV7008960410	/projects/caeg/data/production/LV7/008/960/LV7008960410/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008960410_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006412	LV7008960420	148	single strand DNA Library Method	47	47	/projects/caeg/data/production/LV7/008/960/LV7008960420/20240724_BH5F2GDSX7	 Lib_LV7008960420	/projects/caeg/data/production/LV7/008/960/LV7008960420/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008960420_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006404	LV7008960898	176.5	single strand DNA Library Method	75.5	75.5	/projects/caeg/data/production/LV7/008/960/LV7008960898/20240724_BH5F2GDSX7	 Lib_LV7008960898	/projects/caeg/data/production/LV7/008/960/LV7008960898/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008960898_collapsed.stat.gz
