field_sample_parent_id	field_sample_id	archive_sample_id	library_id	Master.Depth..cm.	Library.Prep.Method	ArchiveSampleDepthCalTape	time	basedir	basename	aggregate_stat_files
CAM2208M	CAM22-08	LV3005273250	LV7001884436	NA	double strand DNA Library Method	44.5	44.5	/projects/caeg/data/production/LV30/0527/LV3005273250/20230414_BHMGMJDSX5_LV7001884436	 LV3005273250_LV7001884436	/projects/caeg/data/production/LV30/0527/LV3005273250/20230414_BHMGMJDSX5_LV7001884436/stats/metadmg/aggregate//LV3005273250_LV7001884436_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273250	LV7001884436	NA	double strand DNA Library Method	44.5	44.5	/projects/caeg/data/production/LV30/0527/LV3005273250/20230414_BHMGMJDSX5_LV7001884436	 LV3005273250_LV7001884436	/projects/caeg/data/production/LV30/0527/LV3005273250/20230414_BHMGMJDSX5_LV7001884436/stats/metadmg/aggregate//LV3005273250_LV7001884436_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273235	LV7001884448	NA	double strand DNA Library Method	49	49	/projects/caeg/data/production/LV30/0527/LV3005273235/20230414_BHMGMJDSX5_LV7001884448	 LV3005273235_LV7001884448	/projects/caeg/data/production/LV30/0527/LV3005273235/20230414_BHMGMJDSX5_LV7001884448/stats/metadmg/aggregate//LV3005273235_LV7001884448_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273235	LV7001884448	NA	double strand DNA Library Method	49	49	/projects/caeg/data/production/LV30/0527/LV3005273235/20230414_BHMGMJDSX5_LV7001884448	 LV3005273235_LV7001884448	/projects/caeg/data/production/LV30/0527/LV3005273235/20230414_BHMGMJDSX5_LV7001884448/stats/metadmg/aggregate//LV3005273235_LV7001884448_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273242	LV7001884491	NA	double strand DNA Library Method	46	46	/projects/caeg/data/production/LV30/0527/LV3005273242/20230414_BHMGMJDSX5_LV7001884491	 LV3005273242_LV7001884491	/projects/caeg/data/production/LV30/0527/LV3005273242/20230414_BHMGMJDSX5_LV7001884491/stats/metadmg/aggregate//LV3005273242_LV7001884491_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273242	LV7001884491	NA	double strand DNA Library Method	46	46	/projects/caeg/data/production/LV30/0527/LV3005273242/20230414_BHMGMJDSX5_LV7001884491	 LV3005273242_LV7001884491	/projects/caeg/data/production/LV30/0527/LV3005273242/20230414_BHMGMJDSX5_LV7001884491/stats/metadmg/aggregate//LV3005273242_LV7001884491_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273246	LV7001887833	NA	double strand DNA Library Method	43	43	/projects/caeg/data/production/LV30/0527/LV3005273246/20230414_BHMGMJDSX5_LV7001887833	 LV3005273246_LV7001887833	/projects/caeg/data/production/LV30/0527/LV3005273246/20230414_BHMGMJDSX5_LV7001887833/stats/metadmg/aggregate//LV3005273246_LV7001887833_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273246	LV7001887833	NA	double strand DNA Library Method	43	43	/projects/caeg/data/production/LV30/0527/LV3005273246/20230414_BHMGMJDSX5_LV7001887833	 LV3005273246_LV7001887833	/projects/caeg/data/production/LV30/0527/LV3005273246/20230414_BHMGMJDSX5_LV7001887833/stats/metadmg/aggregate//LV3005273246_LV7001887833_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273227	LV7001902859	NA	double strand DNA Library Method	41	41	/projects/caeg/data/production/LV30/0527/LV3005273227/20230414_BHMGMJDSX5_LV7001902859	 LV3005273227_LV7001902859	/projects/caeg/data/production/LV30/0527/LV3005273227/20230414_BHMGMJDSX5_LV7001902859/stats/metadmg/aggregate//LV3005273227_LV7001902859_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273227	LV7001902859	NA	double strand DNA Library Method	41	41	/projects/caeg/data/production/LV30/0527/LV3005273227/20230414_BHMGMJDSX5_LV7001902859	 LV3005273227_LV7001902859	/projects/caeg/data/production/LV30/0527/LV3005273227/20230414_BHMGMJDSX5_LV7001902859/stats/metadmg/aggregate//LV3005273227_LV7001902859_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273248	LV7001903371	NA	double strand DNA Library Method	47.5	47.5	/projects/caeg/data/production/LV30/0527/LV3005273248/20230414_BHMGMJDSX5_LV7001903371	 LV3005273248_LV7001903371	/projects/caeg/data/production/LV30/0527/LV3005273248/20230414_BHMGMJDSX5_LV7001903371/stats/metadmg/aggregate//LV3005273248_LV7001903371_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273248	LV7001903371	NA	double strand DNA Library Method	47.5	47.5	/projects/caeg/data/production/LV30/0527/LV3005273248/20230414_BHMGMJDSX5_LV7001903371	 LV3005273248_LV7001903371	/projects/caeg/data/production/LV30/0527/LV3005273248/20230414_BHMGMJDSX5_LV7001903371/stats/metadmg/aggregate//LV3005273248_LV7001903371_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005272689	LV7009026435	NA	double strand DNA Library Method	114.5	114.5	/projects/caeg/data/production/LV7/009/026/LV7009026435/20230927_AHNLW5DSX5	 Lib_LV7009026435	/projects/caeg/data/production/LV7/009/026/LV7009026435/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026435_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273253	LV7009026436	NA	double strand DNA Library Method	105	105	/projects/caeg/data/production/LV7/009/026/LV7009026436/20230927_AHNLW5DSX5	 Lib_LV7009026436	/projects/caeg/data/production/LV7/009/026/LV7009026436/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026436_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273276	LV7009026437	NA	double strand DNA Library Method	93.5	93.5	/projects/caeg/data/production/LV7/009/026/LV7009026437/20230927_AHNLW5DSX5	 Lib_LV7009026437	/projects/caeg/data/production/LV7/009/026/LV7009026437/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026437_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273265	LV7009026438	NA	double strand DNA Library Method	82	82	/projects/caeg/data/production/LV7/009/026/LV7009026438/20230927_AHNLW5DSX5	 Lib_LV7009026438	/projects/caeg/data/production/LV7/009/026/LV7009026438/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026438_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273228	LV7009026439	NA	double strand DNA Library Method	71.5	71.5	/projects/caeg/data/production/LV7/009/026/LV7009026439/20230927_AHNLW5DSX5	 Lib_LV7009026439	/projects/caeg/data/production/LV7/009/026/LV7009026439/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026439_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273239	LV7009026440	NA	double strand DNA Library Method	60.5	60.5	/projects/caeg/data/production/LV7/009/026/LV7009026440/20230927_AHNLW5DSX5	 Lib_LV7009026440	/projects/caeg/data/production/LV7/009/026/LV7009026440/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026440_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005272696	LV7009026447	NA	double strand DNA Library Method	116	116	/projects/caeg/data/production/LV7/009/026/LV7009026447/20230927_AHNLW5DSX5	 Lib_LV7009026447	/projects/caeg/data/production/LV7/009/026/LV7009026447/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026447_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273254	LV7009026449	NA	double strand DNA Library Method	95	95	/projects/caeg/data/production/LV7/009/026/LV7009026449/20230927_AHNLW5DSX5	 Lib_LV7009026449	/projects/caeg/data/production/LV7/009/026/LV7009026449/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026449_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273270	LV7009026450	NA	double strand DNA Library Method	83.5	83.5	/projects/caeg/data/production/LV7/009/026/LV7009026450/20230927_AHNLW5DSX5	 Lib_LV7009026450	/projects/caeg/data/production/LV7/009/026/LV7009026450/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026450_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273247	LV7009026451	NA	double strand DNA Library Method	73	73	/projects/caeg/data/production/LV7/009/026/LV7009026451/20230927_AHNLW5DSX5	 Lib_LV7009026451	/projects/caeg/data/production/LV7/009/026/LV7009026451/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026451_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273245	LV7009026452	NA	double strand DNA Library Method	62	62	/projects/caeg/data/production/LV7/009/026/LV7009026452/20230927_AHNLW5DSX5	 Lib_LV7009026452	/projects/caeg/data/production/LV7/009/026/LV7009026452/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026452_collapsed.stat.gz
