"time" "is_first_times" "QFILT" "fit_q" "lwr" "upr"
"1" 0.5 TRUE 0.006660875 0.0189257274904324 -0.0410656790601585 0.0789171340410232
"2" 2 TRUE 0.0191665 0.0202721911351616 -0.0278378867250167 0.0683822689953399
"3" 3.5 TRUE 0.0291159 0.0213153838197928 -0.0190131803838244 0.06164394802341
"4" 5 FALSE 0.036557 0.0220758584436523 -0.0145258274572538 0.0586775443445585
"5" 6.5 FALSE NA 0.0226790577715663 -0.0134245253100744 0.0587826408532071
"6" 8 FALSE 0.014705 0.0234141771378413 -0.0141949812713651 0.0610233355470476
"7" 9.5 FALSE NA 0.023884980704782 -0.0157421071910252 0.0635120686005891
"8" 11 FALSE NA 0.0240748874947166 -0.0172720320649944 0.0654218070544276
"9" 12.5 FALSE 0.033884 0.0248425751319866 -0.017948484193961 0.0676336344579342
"10" 14 FALSE NA 0.0253751119792385 -0.0181455610396019 0.0688957849980789
"11" 15.5 FALSE 0.0592871 0.0253123671846815 -0.0187900881229971 0.0694148224923601
"12" 17.5 FALSE 0.006926 0.0269607759216669 -0.0179342819525942 0.0718558337959281
"13" 19 FALSE NA 0.0287920552468371 -0.016330426942851 0.0739145374365251
"14" 21 FALSE 0.011656 0.0323296316394837 -0.0158002977792892 0.0804595610582565
"15" 22.5 FALSE NA 0.0389273254261353 -0.00894032511965521 0.0867949759719259
"16" 24 FALSE NA 0.0483803887931482 0.00170418465289718 0.0950565929333992
"17" 25.5 FALSE 0.052714 0.0597353383585992 0.0133940684859447 0.106076608231254
"18" 27 FALSE NA 0.0720386907405651 0.0240784685860552 0.119998912895075
"19" 29 FALSE NA 0.0882704578845649 0.0358374008933254 0.140703514875804
"20" 30.5 FALSE NA 0.0990787592420316 0.0435885104284037 0.15456900805566
"21" 32 FALSE 0.121 0.10765718547627 0.0513938365233449 0.163920534429195
"22" 33.5 FALSE NA 0.113170459619641 0.0599297344768792 0.166411184762403
"23" 35 FALSE NA 0.116020914150027 0.0675423493760779 0.164499478923975
"24" 37 FALSE 0.120431 0.117239977460338 0.0722423333399571 0.162237621580718
"25" 38.5 FALSE 0.115205 0.117388583729583 0.0726023654136863 0.16217480204548
"26" 40 FALSE 0.11888 0.117940229358434 0.0757463548277865 0.160134103889082
"27" 42 FALSE 0.129016 0.120824807158297 0.0801179511177608 0.161531663198834
"28" 43.5 FALSE 0.1089955 0.123349136382454 0.0792721419235616 0.167426130841347
"29" 45 FALSE 0.1181376 0.126105041638607 0.0827281347545845 0.169481948522629
"30" 47 FALSE 0.142142 0.12961622735696 0.0838719201632334 0.175360534550686
"31" 48.5 FALSE 0.1344309 0.128515597291325 0.0832157195612257 0.173815475021425
"32" 50 FALSE 0.1313589 0.129301726516186 0.0861223456337304 0.172481107398641
"33" 51.5 FALSE 0.127713 0.131796910162833 0.0888805528939252 0.17471326743174
"34" 53 FALSE 0.1040365 0.134653703996697 0.0948405532968413 0.174466854696553
"35" 55 FALSE 0.17233685 0.143516983262132 0.0998024505758365 0.187231515948428
"36" 56.5 FALSE 0.1534842 0.160260043185086 0.112427194196925 0.208092892173247
"37" 58 FALSE 0.174664 0.18215615177085 0.134883912119098 0.229428391422603
"38" 64 FALSE 0.3299738 0.273516299095452 0.217941304428316 0.329091293762587
"39" 66 FALSE 0.299481225 0.269521910115158 0.221916208580888 0.317127611649427
"40" 67.5 FALSE 0.184982 0.273932050778017 0.23205266784444 0.315811433711595
"41" 69 FALSE 0.303411 0.275653063565266 0.23227475737513 0.319031369755402
"42" 70.5 FALSE 0.21210715 0.286319974282248 0.243142105819836 0.329497842744659
"43" 72 FALSE 0.347169 0.295517913643139 0.252997500584459 0.338038326701819
"44" 73.5 FALSE 0.331119 0.303453410631326 0.258387557681209 0.348519263581444
"45" 75 FALSE 0.354885 0.293779548607446 0.251216936752663 0.336342160462229
"46" 76.5 FALSE 0.2085844 0.281339314688694 0.236273461738576 0.326405167638811
"47" 78 FALSE 0.184124625 0.26675912809469 0.221322643028469 0.312195613160911
"48" 79.5 FALSE 0.355551 0.265890772638369 0.223324784461911 0.308456760814827
"49" 81 FALSE 0.2837683 0.269391492612483 0.225806250997358 0.312976734227607
"50" 82.5 FALSE 0.25395905 0.274126736303711 0.233421128615046 0.314832343992375
"51" 84 FALSE 0.27071255 0.283517671036346 0.241305967436884 0.325729374635807
"52" 86 FALSE 0.371533 0.304605824876766 0.261060453191177 0.348151196562355
"53" 87.5 FALSE 0.236663925 0.329587640029304 0.28512682783044 0.374048452228168
"54" 91 FALSE NA 0.413731586007208 0.34780802389972 0.479655148114696
"55" 92.5 FALSE 0.479169 0.461525680809799 0.373105414969969 0.54994594664963
"56" 94 FALSE NA NA NA NA
"57" 95.5 FALSE NA NA NA NA
"58" 97 FALSE NA NA NA NA
