field_sample_parent_id	field_sample_id	archive_sample_id	library_id	Master.Depth..cm.	ArchiveSampleDepthCalTape	time	basedir	basename	aggregate_stat_files
CAM2311M	CAM23-11	LV3006007202	LV7008954795	42	42	42	/projects/caeg/data/production/LV7/008/954/LV7008954795/20240702_BH5F5KDSX7	 Lib_LV7008954795	/projects/caeg/data/production/LV7/008/954/LV7008954795/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008954795_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007222	LV7008955270	22.5	22.5	22.5	/projects/caeg/data/production/LV7/008/955/LV7008955270/20240702_BH5F5KDSX7	 Lib_LV7008955270	/projects/caeg/data/production/LV7/008/955/LV7008955270/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008955270_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007185	LV7008955282	92.5	92.5	92.5	/projects/caeg/data/production/LV7/008/955/LV7008955282/20240704_BH5FCVDSX7	 Lib_LV7008955282	/projects/caeg/data/production/LV7/008/955/LV7008955282/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008955282_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007239	LV7008955428	21	21	21	/projects/caeg/data/production/LV7/008/955/LV7008955428/20240702_BH5F5KDSX7	 Lib_LV7008955428	/projects/caeg/data/production/LV7/008/955/LV7008955428/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008955428_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007210	LV7008955441	56.5	56.5	56.5	/projects/caeg/data/production/LV7/008/955/LV7008955441/20240702_BH5F5KDSX7	 Lib_LV7008955441	/projects/caeg/data/production/LV7/008/955/LV7008955441/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008955441_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007214	LV7008957239	45	45	45	/projects/caeg/data/production/LV7/008/957/LV7008957239/20240702_BH5F5KDSX7	 Lib_LV7008957239	/projects/caeg/data/production/LV7/008/957/LV7008957239/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008957239_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007218	LV7008957297	75	75	75	/projects/caeg/data/production/LV7/008/957/LV7008957297/20240704_BH5FCVDSX7	 Lib_LV7008957297	/projects/caeg/data/production/LV7/008/957/LV7008957297/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957297_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007191	LV7008957310	94	94	94	/projects/caeg/data/production/LV7/008/957/LV7008957310/20240704_BH5FCVDSX7	 Lib_LV7008957310	/projects/caeg/data/production/LV7/008/957/LV7008957310/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957310_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007242	LV7008957394	25.5	25.5	25.5	/projects/caeg/data/production/LV7/008/957/LV7008957394/20240702_BH5F5KDSX7	 Lib_LV7008957394	/projects/caeg/data/production/LV7/008/957/LV7008957394/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008957394_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007241	LV7008957423	19	19	19	/projects/caeg/data/production/LV7/008/957/LV7008957423/20240702_BH5F5KDSX7	 Lib_LV7008957423	/projects/caeg/data/production/LV7/008/957/LV7008957423/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008957423_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007203	LV7008957553	48.5	48.5	48.5	/projects/caeg/data/production/LV7/008/957/LV7008957553/20240702_BH5F5KDSX7	 Lib_LV7008957553	/projects/caeg/data/production/LV7/008/957/LV7008957553/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008957553_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007229	LV7008957561	5	5	5	/projects/caeg/data/production/LV7/008/957/LV7008957561/20240702_BH5F5KDSX7	 Lib_LV7008957561	/projects/caeg/data/production/LV7/008/957/LV7008957561/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008957561_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007236	LV7008957562	15.5	15.5	15.5	/projects/caeg/data/production/LV7/008/957/LV7008957562/20240702_BH5F5KDSX7	 Lib_LV7008957562	/projects/caeg/data/production/LV7/008/957/LV7008957562/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008957562_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007213	LV7008957587	38.5	38.5	38.5	/projects/caeg/data/production/LV7/008/957/LV7008957587/20240702_BH5F5KDSX7	 Lib_LV7008957587	/projects/caeg/data/production/LV7/008/957/LV7008957587/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008957587_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007172	LV7008957621	82.5	82.5	82.5	/projects/caeg/data/production/LV7/008/957/LV7008957621/20240704_BH5FCVDSX7	 Lib_LV7008957621	/projects/caeg/data/production/LV7/008/957/LV7008957621/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008957621_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007234	LV7008958317	9.5	9.5	9.5	/projects/caeg/data/production/LV7/008/958/LV7008958317/20240702_BH5F5KDSX7	 Lib_LV7008958317	/projects/caeg/data/production/LV7/008/958/LV7008958317/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008958317_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007205	LV7008958344	66	66	66	/projects/caeg/data/production/LV7/008/958/LV7008958344/20240702_BH5F5KDSX7	 Lib_LV7008958344	/projects/caeg/data/production/LV7/008/958/LV7008958344/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008958344_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007179	LV7008958499	91	91	91	/projects/caeg/data/production/LV7/008/958/LV7008958499/20240704_BH5FCVDSX7	 Lib_LV7008958499	/projects/caeg/data/production/LV7/008/958/LV7008958499/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008958499_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007206	LV7008958558	72	72	72	/projects/caeg/data/production/LV7/008/958/LV7008958558/20240702_BH5F5KDSX7	 Lib_LV7008958558	/projects/caeg/data/production/LV7/008/958/LV7008958558/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008958558_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007219	LV7008960323	2	2	2	/projects/caeg/data/production/LV7/008/960/LV7008960323/20240702_BH5F5KDSX7	 Lib_LV7008960323	/projects/caeg/data/production/LV7/008/960/LV7008960323/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008960323_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006009104	LV7008960326	29	29	29	/projects/caeg/data/production/LV7/008/960/LV7008960326/20240702_BH5F5KDSX7	 Lib_LV7008960326	/projects/caeg/data/production/LV7/008/960/LV7008960326/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008960326_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007212	LV7008960346	73.5	73.5	73.5	/projects/caeg/data/production/LV7/008/960/LV7008960346/20240702_BH5F5KDSX7	 Lib_LV7008960346	/projects/caeg/data/production/LV7/008/960/LV7008960346/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008960346_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007178	LV7008960360	84	84	84	/projects/caeg/data/production/LV7/008/960/LV7008960360/20240704_BH5FCVDSX7	 Lib_LV7008960360	/projects/caeg/data/production/LV7/008/960/LV7008960360/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7008960360_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007216	LV7008960422	58	58	58	/projects/caeg/data/production/LV7/008/960/LV7008960422/20240702_BH5F5KDSX7	 Lib_LV7008960422	/projects/caeg/data/production/LV7/008/960/LV7008960422/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008960422_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007217	LV7008960430	69	69	69	/projects/caeg/data/production/LV7/008/960/LV7008960430/20240702_BH5F5KDSX7	 Lib_LV7008960430	/projects/caeg/data/production/LV7/008/960/LV7008960430/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008960430_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007196	LV7008960910	40	40	40	/projects/caeg/data/production/LV7/008/960/LV7008960910/20240702_BH5F5KDSX7	 Lib_LV7008960910	/projects/caeg/data/production/LV7/008/960/LV7008960910/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008960910_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006007198	LV7008961151	53	53	53	/projects/caeg/data/production/LV7/008/961/LV7008961151/20240702_BH5F5KDSX7	 Lib_LV7008961151	/projects/caeg/data/production/LV7/008/961/LV7008961151/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008961151_collapsed.stat.gz
CAM2311M	CAM23-11	LV3006006725	LV7008961180	30.5	30.5	30.5	/projects/caeg/data/production/LV7/008/961/LV7008961180/20240702_BH5F5KDSX7	 Lib_LV7008961180	/projects/caeg/data/production/LV7/008/961/LV7008961180/20240702_BH5F5KDSX7/stats/metadmg/aggregate//Lib_LV7008961180_collapsed.stat.gz
